"id","bundleId","bundleType","title","line","section","status","priority","uploadState","imageKind","href","products","tags","issueCodes"
"dr-hoodie-mainstream","print-dr-hoodie-mainstream","print","Kein Mainstream. Hoodie","Dr. Gray","men","In Vorbereitung","P2","uploaded","local","https://www.shirtee.com/de/store/drgray-mrsdrgray/","Unisex Hoodie | Zip Hoodie | Oversize Shirt","Herren | Techno | Backprint",""
"dr-tee-peak-pressure","apparel-dr-tee-peak-pressure","apparel","Peak Pressure Tee","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Classic Tee | Heavy Tee | Longsleeve","Herren | Peak Time | Druck",""
"dr-utility-jacket","apparel-dr-utility-jacket","apparel","Utility Night Jacket","Dr. Gray","men","Konzept","P3","submitted","local","shop.html#herren-kollektion","Light Jacket | Utility Overshirt | Coach Jacket","Herren | Jacket | Dark Utility",""
"dr-heavy-tee-industrial","apparel-dr-heavy-tee-industrial","apparel","Industrial Heavy Tee","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Heavy Tee | Longsleeve | Layer Tee","Herren | Heavy Tee | Technoid",""
"dr-polo-control-axis","apparel-dr-polo-control-axis","apparel","Control Axis Polo","Dr. Gray","men","In Vorbereitung","P2","submitted","local","shop.html#herren-kollektion","Polo | Longsleeve Polo | Smart Layer","Herren | Polo | Control",""
"dr-longsleeve-underground","apparel-dr-longsleeve-underground","apparel","Underground Signal Longsleeve","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Longsleeve | Heavy Longsleeve | Crewneck","Herren | Longsleeve | Underground",""
"dr-zip-subpressure","print-dr-zip-subpressure","print","Subpressure Zip","Dr. Gray","men","Geplant","P3","submitted","local","shop.html#herren-kollektion","Zip Hoodie | Heavy Zip | Street Jacket","Herren | Zip | Backprint",""
"dr-tee-mainfloor-ready","print-dr-tee-mainfloor-ready","print","Mainfloor Ready Tee","Dr. Gray","men","Uploadbereit","P1","submitted","local","shop.html#herren-kollektion","Unisex Tee | Premium Tee | Heavy Tee","Herren | Shirtee Ready | Frontprint",""
"dr-hoodie-pressure-ready","apparel-dr-hoodie-pressure-ready","apparel","Pressure Ready Hoodie","Dr. Gray","men","Uploadbereit","P1","submitted","local","shop.html#herren-kollektion","Unisex Hoodie | Zip Hoodie | Sweatshirt","Herren | Shirtee Ready | Hoodie",""
"dr-longsleeve-raw-ready","apparel-dr-longsleeve-raw-ready","apparel","Raw Signal Longsleeve","Dr. Gray","men","Uploadbereit","P1","submitted","local","shop.html#herren-kollektion","Longsleeve | Heavy Longsleeve | Layer Tee","Herren | Shirtee Ready | Longsleeve",""
"dr-polo-dark-ready","apparel-dr-polo-dark-ready","apparel","Darkline Polo Ready","Dr. Gray","men","Uploadbereit","P1","submitted","local","shop.html#herren-kollektion","Polo | Premium Polo | Light Jacket","Herren | Shirtee Ready | Polo",""
"dr-tee-keinmainstream-top","apparel-dr-tee-keinmainstream-top","apparel","Kein Mainstream Tee Top Upload","Dr. Gray","men","Top Upload","P3","submitted","local","shop.html#herren-kollektion","Unisex Tee | Premium Tee | Heavy Tee","Herren | Top Upload | Core",""
"dr-hoodie-control-top","apparel-dr-hoodie-control-top","apparel","Control Hoodie Top Upload","Dr. Gray","men","Top Upload","P3","submitted","local","shop.html#herren-kollektion","Unisex Hoodie | Zip Hoodie | Sweatshirt","Herren | Top Upload | Hoodie",""
"dr-longsleeve-pressure-top","apparel-dr-longsleeve-pressure-top","apparel","Pressure Longsleeve Top Upload","Dr. Gray","men","Top Upload","P3","submitted","local","shop.html#herren-kollektion","Longsleeve | Heavy Longsleeve | Layer Tee","Herren | Top Upload | Longsleeve",""
"dr-tee-bassline-top","apparel-dr-tee-bassline-top","apparel","Bassline Tee Top Upload","Dr. Gray","men","Top Upload","P3","submitted","local","shop.html#herren-kollektion","Unisex Tee | Heavy Tee | Premium Tee","Herren | Top Upload | Bassline",""
"dr-hoodie-nightshift-top","apparel-dr-hoodie-nightshift-top","apparel","Nightshift Hoodie Top Upload","Dr. Gray","men","Top Upload","P3","submitted","local","shop.html#herren-kollektion","Unisex Hoodie | Zip Hoodie | Sweatshirt","Herren | Top Upload | Nightshift",""
"dr-polo-axis-top","apparel-dr-polo-axis-top","apparel","Axis Polo Top Upload","Dr. Gray","men","Top Upload","P3","submitted","local","shop.html#herren-kollektion","Polo | Premium Polo | Longsleeve Polo","Herren | Top Upload | Polo",""
"mrs-crop-wild","apparel-mrs-crop-wild","apparel","Zu wild für leise. Crop","Mrs. Dr. Gray","women","Live im Store","P0","uploaded","local","https://www.shirtee.com/de/store/drgray-mrsdrgray/","Crop Shirt | Fitted Tee | Hoodie","Damen | Frech | Mrs.-Logo",""
"mrs-dress-liebe","apparel-mrs-dress-liebe","apparel","Liebe lauter. Kleid","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Kleid | Shirt-Kleid | Oversize Tee","Damen | Kleider | Elegant",""
"mrs-hoodie-serious","apparel-mrs-hoodie-serious","apparel","Mrs. Dr. Gray Signature Hoodie","Mrs. Dr. Gray","women","Live im Store","P0","uploaded","local","https://www.shirtee.com/de/drgray-mrsdrgray/","Hoodie | Crop Hoodie | Tee","Damen | Signature | Logo First",""
"mrs-top-afterglow","apparel-mrs-top-afterglow","apparel","Zu echt für Plastik-Raves","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Tank Top | Fitted Tee | Light Hoodie","Damen | Club | Attitude",""
"mrs-dress-midnight","apparel-mrs-dress-midnight","apparel","Midnight Cutout Dress","Mrs. Dr. Gray","women","Konzept","P3","submitted","local","shop.html#damen-kollektion","Kleid | Bodycon Dress | Event Look","Damen | Dress | Club",""
"mrs-polo-afterhours","apparel-mrs-polo-afterhours","apparel","Afterhours Polo","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Polo | Fitted Shirt | Soft Layer","Damen | Polo | Elegant",""
"mrs-shirt-love-runs","apparel-mrs-shirt-love-runs","apparel","Liebe lauter Longsleeve","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Longsleeve | Light Hoodie | Soft Tee","Damen | Longsleeve | Melodic",""
"mrs-crop-love","apparel-mrs-crop-love","apparel","Liebe lauter Crop","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Crop Shirt | Soft Crop | Summer Top","Damen | Crop | Melodic",""
"mrs-hoodie-wild","apparel-mrs-hoodie-wild","apparel","Zu wild für leise Hoodie","Mrs. Dr. Gray","women","Priorität","P3","submitted","local","shop.html#damen-kollektion","Hoodie | Oversize Hoodie | Soft Zip","Damen | Hoodie | Frech",""
"mrs-shirt-signature","apparel-mrs-shirt-signature","apparel","Mrs. Dr. Gray Signature Tee","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Tee | Fitted Tee | Clean Top","Damen | Signature | Minimal",""
"mrs-shirt-afterhour","apparel-mrs-shirt-afterhour","apparel","Afterhour Attitude Tee","Mrs. Dr. Gray","women","Konzept","P3","submitted","local","shop.html#damen-kollektion","Tee | Longsleeve | Layer Top","Damen | Afterhour | Attitude",""
"mrs-portrait-tee-bw","apparel-mrs-portrait-tee-bw","apparel","Mrs. Portrait BW Tee","Mrs. Dr. Gray","women","In Vorbereitung","P2","submitted","local","shop.html#damen-kollektion","Signature Tee | Crop Shirt | Soft Longsleeve","Damen | Portrait | Signature",""
"mrs-crop-playful-control","apparel-mrs-crop-playful-control","apparel","Playful Control Crop","Mrs. Dr. Gray","women","In Vorbereitung","P2","submitted","local","shop.html#damen-kollektion","Crop Shirt | Fitted Tee | Soft Hoodie","Damen | Crop | Mrs.-Fokus",""
"mrs-bodysuit-signal","apparel-mrs-bodysuit-signal","apparel","Signal Bodysuit","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Bodysuit | Fitted Top | Club Layer","Damen | Bodysuit | Mrs.-Logo",""
"mrs-zip-command","apparel-mrs-zip-command","apparel","Command Zip Hoodie","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Zip Hoodie | Crop Zip | Soft Oversize","Damen | Zip | Selbstbewusst",""
"mrs-tee-clubqueen","apparel-mrs-tee-clubqueen","apparel","Club Queen Signature Tee","Mrs. Dr. Gray","women","In Vorbereitung","P2","submitted","local","shop.html#damen-kollektion","Signature Tee | Fitted Tee | Light Longsleeve","Damen | Signature | Club",""
"mrs-crop-nightpulse","apparel-mrs-crop-nightpulse","apparel","Night Pulse Crop","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Crop Shirt | Soft Crop | Fitted Tee","Damen | Crop | Nightlife",""
"mrs-longsleeve-command","apparel-mrs-longsleeve-command","apparel","Command Longsleeve","Mrs. Dr. Gray","women","In Vorbereitung","P2","submitted","local","shop.html#damen-kollektion","Longsleeve | Soft Hoodie | Layer Top","Damen | Longsleeve | Command",""
"mrs-tee-heartline","apparel-mrs-tee-heartline","apparel","Heartline Signature Tee","Mrs. Dr. Gray","women","Geplant","P3","submitted","local","shop.html#damen-kollektion","Signature Tee | Fitted Tee | Crop Shirt","Damen | Signature | Heartline",""
"mrs-dress-afterset","apparel-mrs-dress-afterset","apparel","Afterset Dress","Mrs. Dr. Gray","women","Konzept","P3","submitted","local","shop.html#damen-kollektion","Shirt Dress | Bodycon Dress | Event Fit","Damen | Dress | Event",""
"mrs-crop-signature-ready","apparel-mrs-crop-signature-ready","apparel","Signature Crop Ready","Mrs. Dr. Gray","women","Uploadbereit","P1","submitted","local","shop.html#damen-kollektion","Ladies Crop | Fitted Tee | Soft Crop","Damen | Shirtee Ready | Mrs.-Fokus",""
"mrs-tee-wild-ready","apparel-mrs-tee-wild-ready","apparel","Wild Ready Tee","Mrs. Dr. Gray","women","Uploadbereit","P1","submitted","local","shop.html#damen-kollektion","Ladies Tee | Fitted Tee | Longsleeve","Damen | Shirtee Ready | Attitude",""
"mrs-hoodie-core-ready","apparel-mrs-hoodie-core-ready","apparel","Core Hoodie Ready","Mrs. Dr. Gray","women","Uploadbereit","P1","submitted","local","shop.html#damen-kollektion","Ladies Hoodie | Unisex Hoodie | Zip Hoodie","Damen | Shirtee Ready | Hoodie",""
"mrs-longsleeve-love-ready","apparel-mrs-longsleeve-love-ready","apparel","Loveline Longsleeve Ready","Mrs. Dr. Gray","women","Uploadbereit","P1","submitted","local","shop.html#damen-kollektion","Ladies Longsleeve | Fitted Longsleeve | Soft Hoodie","Damen | Shirtee Ready | Longsleeve",""
"mrs-crop-wild-top","apparel-mrs-crop-wild-top","apparel","Zu wild Crop Top Upload","Mrs. Dr. Gray","women","Top Upload","P3","submitted","local","shop.html#damen-kollektion","Ladies Crop | Fitted Tee | Soft Crop","Damen | Top Upload | Crop",""
"mrs-tee-signature-top","apparel-mrs-tee-signature-top","apparel","Signature Tee Top Upload","Mrs. Dr. Gray","women","Top Upload","P3","submitted","local","shop.html#damen-kollektion","Ladies Tee | Fitted Tee | Ladies Longsleeve","Damen | Top Upload | Signature",""
"mrs-hoodie-love-top","apparel-mrs-hoodie-love-top","apparel","Liebe lauter Hoodie Top Upload","Mrs. Dr. Gray","women","Top Upload","P3","submitted","local","shop.html#damen-kollektion","Ladies Hoodie | Unisex Hoodie | Zip Hoodie","Damen | Top Upload | Hoodie",""
"mrs-crop-heartline-top","apparel-mrs-crop-heartline-top","apparel","Heartline Crop Top Upload","Mrs. Dr. Gray","women","Top Upload","P3","submitted","local","shop.html#damen-kollektion","Ladies Crop | Fitted Tee | Soft Crop","Damen | Top Upload | Heartline",""
"mrs-tee-afterhour-top","apparel-mrs-tee-afterhour-top","apparel","Afterhour Tee Top Upload","Mrs. Dr. Gray","women","Top Upload","P3","submitted","local","shop.html#damen-kollektion","Ladies Tee | Fitted Tee | Ladies Longsleeve","Damen | Top Upload | Afterhour",""
"mrs-hoodie-command-top","apparel-mrs-hoodie-command-top","apparel","Command Hoodie Top Upload","Mrs. Dr. Gray","women","Top Upload","P3","submitted","local","shop.html#damen-kollektion","Ladies Hoodie | Unisex Hoodie | Zip Hoodie","Damen | Top Upload | Command",""
"couple-hoodie-beat","apparel-couple-hoodie-beat","apparel","Couple in Love mit dem Beat","Couple Edition","couple","Priorität","P3","submitted","local","shop.html#couple-edition","Hoodie Set | Shirt Set | Poster","Couple | Duo | Symmetrisch",""
"couple-set-rhythm","apparel-couple-set-rhythm","apparel","Two Hearts. One Rhythm.","Couple Edition","couple","Geplant","P3","submitted","local","shop.html#couple-edition","Shirt Set | Longsleeve Set | Tote Pair","Couple | Melodic | Set",""
"couple-set-vibe","accessory-couple-set-vibe","accessory","His Beat. Her Vibe.","Couple Edition","couple","Geplant","P3","submitted","local","shop.html#couple-edition","2er Shirt Set | 2er Hoodie Set | Couple Cap","Couple | Attitude | Limited",""
"couple-shirt-set","bundle-couple-shirt-set","bundle","Two Souls. One Drop.","Couple Edition","couple","Konzept","P3","submitted","local","shop.html#couple-edition","Shirt Set | Longsleeve Set | Event Bundle","Couple | Set | Story",""
"couple-hoodie-rhythm","apparel-couple-hoodie-rhythm","apparel","Two Hearts. One Rhythm. Hoodie","Couple Edition","couple","Priorität","P3","submitted","local","shop.html#couple-edition","Hoodie Set | Couple Hoodie | Gift Set","Couple | Hoodie | Melodic",""
"couple-longsleeve-love","apparel-couple-longsleeve-love","apparel","No Fake Love Longsleeve Set","Couple Edition","couple","Konzept","P3","submitted","local","shop.html#couple-edition","Longsleeve Set | Tee Set | Dark Drop","Couple | Longsleeve | Dark",""
"couple-rainproof-tee","apparel-couple-rainproof-tee","apparel","Rainproof Couple Tee","Couple Edition","couple","Priorität","P1","submitted","local","shop.html#couple-edition","Couple Tee Set | Couple Hoodie | Night Edition","Couple | Rain Neon | Night Drop",""
"couple-daylight-hoodie","bundle-couple-daylight-hoodie","bundle","Daylight Duo Hoodie","Couple Edition","couple","In Vorbereitung","P1","submitted","local","shop.html#couple-edition","Hoodie Set | Crewneck Set | Casual Bundle","Couple | Clean | Lifestyle",""
"couple-equal-heights-tee","apparel-couple-equal-heights-tee","apparel","Equal Heights Couple Tee","Couple Edition","couple","Geplant","P3","submitted","local","shop.html#couple-edition","2er Tee Set | 2er Longsleeve Set | Event Duo Pack","Couple | Symmetrie | Logo-Höhe",""
"couple-b2b-tee-set","apparel-couple-b2b-tee-set","apparel","B2B Couple Tee Set","Couple Edition","couple","Geplant","P3","submitted","local","shop.html#couple-edition","2er Tee Set | 2er Hoodie Set | 2er Longsleeve Set","Couple | B2B | Symmetrie",""
"couple-split-signal-hoodie","bundle-couple-split-signal-hoodie","bundle","Split Signal Hoodie Set","Couple Edition","couple","In Vorbereitung","P2","submitted","local","shop.html#couple-edition","Hoodie Set | Crewneck Set | Night Bundle","Couple | Hoodie | Signal",""
"couple-vows-techno-crew","apparel-couple-vows-techno-crew","apparel","Vows over Noise Crew Set","Couple Edition","couple","Konzept","P3","submitted","local","shop.html#couple-edition","Crewneck Set | Longsleeve Set | Event Duo Pack","Couple | Crewneck | Underground Love",""
"couple-tee-synchronized","apparel-couple-tee-synchronized","apparel","Synchronized Couple Tee","Couple Edition","couple","Geplant","P3","submitted","local","shop.html#couple-edition","2er Tee Set | 2er Longsleeve Set | Couple Pack","Couple | Symmetrie | Tee Set",""
"couple-hoodie-nightvows","bundle-couple-hoodie-nightvows","bundle","Night Vows Hoodie Set","Couple Edition","couple","In Vorbereitung","P2","submitted","local","shop.html#couple-edition","Hoodie Set | Heavy Hoodie Set | Night Bundle","Couple | Hoodie | Night Drop",""
"couple-longsleeve-equaltempo","apparel-couple-longsleeve-equaltempo","apparel","Equal Tempo Longsleeve Set","Couple Edition","couple","Geplant","P3","submitted","local","shop.html#couple-edition","Longsleeve Set | Tee Set | Crew Set","Couple | Longsleeve | Equal",""
"couple-crew-echopair","apparel-couple-crew-echopair","apparel","Echo Pair Crewneck","Couple Edition","couple","Konzept","P3","submitted","local","shop.html#couple-edition","Crewneck Set | Sweat Set | Gift Duo","Couple | Crewneck | Duo",""
"couple-tee-vows-ready","apparel-couple-tee-vows-ready","apparel","Vows Tee Set Ready","Couple Edition","couple","Uploadbereit","P1","submitted","local","shop.html#couple-edition","2x Unisex Tee | 2x Premium Tee | 2x Longsleeve","Couple | Shirtee Ready | Tee Set",""
"couple-hoodie-equal-ready","apparel-couple-hoodie-equal-ready","apparel","Equal Hoodie Set Ready","Couple Edition","couple","Uploadbereit","P1","submitted","local","shop.html#couple-edition","2x Unisex Hoodie | 2x Zip Hoodie | 2x Sweatshirt","Couple | Shirtee Ready | Hoodie Set",""
"couple-longsleeve-b2b-ready","apparel-couple-longsleeve-b2b-ready","apparel","B2B Longsleeve Set Ready","Couple Edition","couple","Uploadbereit","P1","submitted","local","shop.html#couple-edition","2x Longsleeve | 2x Heavy Longsleeve | 2x Tee","Couple | Shirtee Ready | Longsleeve Set",""
"couple-sweat-rhythm-ready","apparel-couple-sweat-rhythm-ready","apparel","Rhythm Sweat Set Ready","Couple Edition","couple","Uploadbereit","P1","submitted","local","shop.html#couple-edition","2x Sweatshirt | 2x Crewneck | 2x Hoodie","Couple | Shirtee Ready | Sweat Set",""
"couple-tee-beat-top","apparel-couple-tee-beat-top","apparel","Couple in Love Tee Set Top Upload","Couple Edition","couple","Top Upload","P3","submitted","local","shop.html#couple-edition","2x Unisex Tee | 2x Premium Tee | 2x Longsleeve","Couple | Top Upload | Tee Set",""
"couple-hoodie-rhythm-top","apparel-couple-hoodie-rhythm-top","apparel","Rhythm Hoodie Set Top Upload","Couple Edition","couple","Top Upload","P3","submitted","local","shop.html#couple-edition","2x Unisex Hoodie | 2x Zip Hoodie | 2x Sweatshirt","Couple | Top Upload | Hoodie Set",""
"couple-longsleeve-vibe-top","apparel-couple-longsleeve-vibe-top","apparel","His Beat Her Vibe Top Upload","Couple Edition","couple","Top Upload","P3","submitted","local","shop.html#couple-edition","2x Longsleeve | 2x Heavy Longsleeve | 2x Tee","Couple | Top Upload | Longsleeve Set",""
"couple-tee-rainline-top","apparel-couple-tee-rainline-top","apparel","Rainline Tee Set Top Upload","Couple Edition","couple","Top Upload","P3","submitted","local","shop.html#couple-edition","2x Unisex Tee | 2x Premium Tee | 2x Heavy Tee","Couple | Top Upload | Rainline",""
"couple-hoodie-echoline-top","apparel-couple-hoodie-echoline-top","apparel","Echoline Hoodie Set Top Upload","Couple Edition","couple","Top Upload","P3","submitted","local","shop.html#couple-edition","2x Unisex Hoodie | 2x Zip Hoodie | 2x Sweatshirt","Couple | Top Upload | Echoline",""
"couple-sweat-daylight-top","apparel-couple-sweat-daylight-top","apparel","Daylight Sweat Set Top Upload","Couple Edition","couple","Top Upload","P3","submitted","local","shop.html#couple-edition","2x Sweatshirt | 2x Crewneck | 2x Hoodie","Couple | Top Upload | Daylight",""
"unisex-shirt-dual","print-unisex-shirt-dual","print","Techno mit Herz. Unisex Tee","Unisex","unisex","Priorität","P3","submitted","local","shop.html#unisex-drop","Unisex Tee | Unisex Hoodie | Longsleeve","Unisex | Backprint Wahl | Core",""
"unisex-hoodie-switch","apparel-unisex-hoodie-switch","apparel","Front Dual Logo, Rücken frei wählbar","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Hoodie | Heavy Tee | Zip Hoodie","Unisex | Wahlmotiv | Flexible Serie",""
"unisex-shirt-core","print-unisex-shirt-core","print","Core Shirt mit Backprint-Wahl","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Heavy Tee | Classic Tee | Longsleeve","Unisex | Core | Choice",""
"unisex-sweat-core","apparel-unisex-sweat-core","apparel","Techno mit Herz Sweatshirt","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Sweatshirt | Heavy Sweat | Crewneck","Unisex | Sweatshirt | Core",""
"unisex-polo-duo","apparel-unisex-polo-duo","apparel","Duo Polo","Unisex","unisex","Konzept","P3","submitted","local","shop.html#unisex-drop","Polo | Light Longsleeve | Layer Piece","Unisex | Polo | Dark Smart",""
"unisex-daylight-hoodie","print-unisex-daylight-hoodie","print","Daylight Unisex Hoodie","Unisex","unisex","In Vorbereitung","P1","submitted","local","shop.html#unisex-drop","Unisex Hoodie | Unisex Tee | Crewneck","Unisex | Backprint Wahl | Lifestyle",""
"unisex-backline-core","print-unisex-backline-core","print","Backline Core Longsleeve","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Longsleeve | Heavy Tee | Light Crew","Unisex | Backprint Wahl | Clean",""
"unisex-oversize-nightcode","print-unisex-oversize-nightcode","print","Nightcode Oversize Tee","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Oversize Tee | Heavy Tee | Light Hoodie","Unisex | Oversize | Backprint Wahl",""
"unisex-zip-pairmode","apparel-unisex-zip-pairmode","apparel","Pair Mode Zip","Unisex","unisex","In Vorbereitung","P2","submitted","local","shop.html#unisex-drop","Zip Hoodie | Heavy Zip | Street Layer","Unisex | Zip | Flexible Serie",""
"unisex-tee-sharedpulse","apparel-unisex-tee-sharedpulse","apparel","Shared Pulse Tee","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Classic Tee | Longsleeve | Crewneck","Unisex | Core | Community",""
"unisex-heavytee-coreloop","apparel-unisex-heavytee-coreloop","apparel","Coreloop Heavy Tee","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Heavy Tee | Classic Tee | Longsleeve","Unisex | Heavy Tee | Choice",""
"unisex-crew-switchline","print-unisex-crew-switchline","print","Switchline Crewneck","Unisex","unisex","In Vorbereitung","P2","submitted","local","shop.html#unisex-drop","Crewneck | Heavy Sweat | Light Layer","Unisex | Crewneck | Backprint Wahl",""
"unisex-longsleeve-duallabel","apparel-unisex-longsleeve-duallabel","apparel","Dual Label Longsleeve","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Longsleeve | Heavy Longsleeve | Layer Tee","Unisex | Longsleeve | Core",""
"unisex-hoodie-midnightchoice","apparel-unisex-hoodie-midnightchoice","apparel","Midnight Choice Hoodie","Unisex","unisex","Geplant","P3","submitted","local","shop.html#unisex-drop","Unisex Hoodie | Zip Hoodie | Crewneck","Unisex | Hoodie | Flexible Serie",""
"unisex-tee-choice-ready","print-unisex-tee-choice-ready","print","Choice Tee Ready","Unisex","unisex","Uploadbereit","P1","submitted","local","shop.html#unisex-drop","Unisex Tee | Premium Tee | Heavy Tee","Unisex | Shirtee Ready | Backprint Wahl",""
"unisex-hoodie-choice-ready","apparel-unisex-hoodie-choice-ready","apparel","Choice Hoodie Ready","Unisex","unisex","Uploadbereit","P1","submitted","local","shop.html#unisex-drop","Unisex Hoodie | Zip Hoodie | Sweatshirt","Unisex | Shirtee Ready | Hoodie",""
"unisex-longsleeve-choice-ready","apparel-unisex-longsleeve-choice-ready","apparel","Choice Longsleeve Ready","Unisex","unisex","Uploadbereit","P1","submitted","local","shop.html#unisex-drop","Longsleeve | Heavy Longsleeve | Layer Tee","Unisex | Shirtee Ready | Longsleeve",""
"unisex-tee-core-top","print-unisex-tee-core-top","print","Core Tee Top Upload","Unisex","unisex","Top Upload","P3","submitted","local","shop.html#unisex-drop","Unisex Tee | Premium Tee | Heavy Tee","Unisex | Top Upload | Backprint Wahl",""
"unisex-hoodie-core-top","apparel-unisex-hoodie-core-top","apparel","Core Hoodie Top Upload","Unisex","unisex","Top Upload","P3","submitted","local","shop.html#unisex-drop","Unisex Hoodie | Zip Hoodie | Sweatshirt","Unisex | Top Upload | Hoodie",""
"unisex-longsleeve-core-top","apparel-unisex-longsleeve-core-top","apparel","Core Longsleeve Top Upload","Unisex","unisex","Top Upload","P3","submitted","local","shop.html#unisex-drop","Longsleeve | Heavy Longsleeve | Layer Tee","Unisex | Top Upload | Longsleeve",""
"unisex-tee-switch-top","apparel-unisex-tee-switch-top","apparel","Switch Tee Top Upload","Unisex","unisex","Top Upload","P3","submitted","local","shop.html#unisex-drop","Unisex Tee | Premium Tee | Heavy Tee","Unisex | Top Upload | Switch",""
"unisex-hoodie-switch-top","apparel-unisex-hoodie-switch-top","apparel","Switch Hoodie Top Upload","Unisex","unisex","Top Upload","P3","submitted","local","shop.html#unisex-drop","Unisex Hoodie | Zip Hoodie | Sweatshirt","Unisex | Top Upload | Switch",""
"unisex-crew-core-top","apparel-unisex-crew-core-top","apparel","Core Crewneck Top Upload","Unisex","unisex","Top Upload","P3","submitted","local","shop.html#unisex-drop","Crewneck | Heavy Sweat | Sweatshirt","Unisex | Top Upload | Crewneck",""
"accessory-tote-techno","accessory-accessory-tote-techno","accessory","Techno mit Herz Tote Bag","Accessories","accessories","Geplant","P3","submitted","local","shop.html#accessoires","Tote Bag | Stoffbeutel | Gym Bag","Accessoire | Bag | Logo",""
"accessory-cap-gray","accessory-accessory-cap-gray","accessory","Dr. Gray Cap","Accessories","accessories","Geplant","P3","submitted","local","shop.html#accessoires","Cap | Snapback | Beanie","Accessoire | Cap | Herren",""
